"","ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_ORF","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1435678_at","1435678_at","POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1","Pantr1","66297","","","","UI-M-BH1-akq-b-03-0-UI.s1 NIH_BMAP_M_S2 Mus musculus cDNA clone UI-M-BH1-akq-b-03-0-UI 3-, mRNA sequence",5906208,"AW045679",NA,NA,NA,"1 B","Chromosome 1, NC_000067.6 (42648200..42694825, complement)","","","","","","",-1.5961033430962,6.72343795943298,-18.068861750047,5.08410425623946e-10,8.18922093073771e-07,13.3654658390551
"1452232_at","1452232_at","UDP-N-acetyl-alpha-D-galactosamine: polypeptide N-acetylgalactosaminyltransferase 7","Galnt7","108150","","","","AV302406 RIKEN full-length enriched, 8 days embryo Mus musculus cDNA clone 5730502K21 3-, mRNA sequence",16393472,"AV302406",NA,NA,NA,"8 B3.2","Chromosome 8, NC_000074.6 (57523825..57653055, complement)","1,2-dihydroxy-phenanthrene glycosyltransferase activity///1-phenanthrol glycosyltransferase activity///9-phenanthrol UDP-glucuronosyltransferase activity///9-phenanthrol glycosyltransferase activity///O antigen polymerase activity///UDP-glucose:glycoprotein glucosyltransferase activity///acetylgalactosaminyltransferase activity///acetylglucosaminyltransferase activity///alpha-(1->3)-fucosyltransferase activity///alpha-(1->6)-fucosyltransferase activity///alpha-1,2-galactosyltransferase activity///alpha-1,2-mannosyltransferase activity///alpha-1,3-galactosyltransferase activity///alpha-1,3-mannosyltransferase activity///alpha-1,6-mannosyltransferase activity///benzoic acid glucosyltransferase activity///beta-1,4-mannosyltransferase activity///carbohydrate binding///cellulose synthase activity///chondroitin hydrolase activity///cytokinin 9-beta-glucosyltransferase activity///dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity///dolichyl pyrophosphate Man7GlcNAc2 alpha-1,3-glucosyltransferase activity///dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity///dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity///dolichyl-pyrophosphate Man7GlcNAc2 alpha-1,6-mannosyltransferase activity///fucosyltransferase activity///galactosyltransferase activity///glucosyltransferase activity///glycolipid mannosyltransferase activity///indole-3-butyrate beta-glucosyltransferase activity///inositol phosphoceramide synthase activity///lipopolysaccharide-1,5-galactosyltransferase activity///lipopolysaccharide-1,6-galactosyltransferase activity///mannosyltransferase activity///metal ion binding///oligosaccharyl transferase activity///phenanthrol glycosyltransferase activity///polypeptide N-acetylgalactosaminyltransferase activity///salicylic acid glucosyltransferase (ester-forming) activity///salicylic acid glucosyltransferase (glucoside-forming) activity///transferase activity///transferase activity, transferring glycosyl groups","protein O-linked glycosylation","Golgi apparatus///extracellular exosome///integral component of membrane///membrane","GO:0018718///GO:0018716///GO:0018715///GO:0018717///GO:0008755///GO:0003980///GO:0008376///GO:0008375///GO:0046920///GO:0046921///GO:0031278///GO:0000026///GO:0001962///GO:0000033///GO:0000009///GO:0052641///GO:0019187///GO:0030246///GO:0016759///GO:0052757///GO:0080062///GO:0042283///GO:0033556///GO:0042281///GO:0004583///GO:0052824///GO:0008417///GO:0008378///GO:0046527///GO:0004376///GO:0052638///GO:0045140///GO:0035496///GO:0008921///GO:0000030///GO:0046872///GO:0004576///GO:0019112///GO:0004653///GO:0052639///GO:0052640///GO:0016740///GO:0016757","GO:0006493","GO:0005794///GO:0070062///GO:0016021///GO:0016020",-1.7280010595718,7.70822429003406,-17.9682352935594,5.42188302617638e-10,8.43214987460624e-07,13.3079760091241
"1420723_at","1420723_at","vanin 3","Vnn3","26464","","","","Mus musculus vanin 3 (Vnn3), mRNA",257153364,"NM_011979",NA,NA,NA,"10 A2-B1","Chromosome 10, NC_000076.6 (23851462..23869843)","hydrolase activity///hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds///hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides///pantetheine hydrolase activity","biotin metabolic process///central nervous system development///nitrogen compound metabolic process///pantothenate metabolic process","anchored component of membrane///extracellular space///membrane///plasma membrane","GO:0016787///GO:0016810///GO:0016811///GO:0017159","GO:0006768///GO:0007417///GO:0006807///GO:0015939","GO:0031225///GO:0005615///GO:0016020///GO:0005886",-1.84571930408071,7.52092202825883,-17.7849203376182,6.10125637941447e-10,8.9765775599003e-07,13.2021941440255
"1423439_at","1423439_at","phosphoenolpyruvate carboxykinase 1, cytosolic","Pck1","18534","","","","",NA,"",NA,NA,NA,"2 C1-qter","Chromosome 2, NC_000068.7 (173153073..173159254)","GDP binding///GTP binding///carboxy-lyase activity///carboxylic acid binding///lyase activity///magnesium ion binding///manganese ion binding///metal ion binding///nucleoside diphosphate kinase activity///nucleotide binding///phosphoenolpyruvate carboxykinase (GTP) activity///phosphoenolpyruvate carboxykinase activity///phosphoenolpyruvate carboxykinase activity///purine nucleotide binding","cellular response to potassium ion starvation///gluconeogenesis///gluconeogenesis///glucose homeostasis///glucose metabolic process///glycerol biosynthetic process from pyruvate///glycerol biosynthetic process from pyruvate///internal protein amino acid acetylation///lipid metabolic process///oxaloacetate metabolic process///positive regulation of transcription from RNA polymerase II promoter in response to acidic pH///response to insulin","cytoplasm///cytosol///extracellular exosome","GO:0019003///GO:0005525///GO:0016831///GO:0031406///GO:0016829///GO:0000287///GO:0030145///GO:0046872///GO:0004550///GO:0000166///GO:0004613///GO:0004611///GO:0004611///GO:0017076","GO:0051365///GO:0006094///GO:0006094///GO:0042593///GO:0006006///GO:0046327///GO:0046327///GO:0006475///GO:0006629///GO:0006107///GO:0061402///GO:0032868","GO:0005737///GO:0005829///GO:0070062",-2.05474842233653,7.15935711143165,-17.4344021732789,7.67075847932617e-10,9.88453937645971e-07,12.9960737001699
"1434645_at","1434645_at","RIKEN cDNA C530008M17 gene","C530008M17Rik","320827","","","","BB493717 RIKEN full-length enriched, 13 days embryo stomach Mus musculus cDNA clone D530035A11 3-, mRNA sequence",16441771,"BB493717",NA,NA,NA,"5 E1","Chromosome 5, NC_000071.6 (76657779..76873554)","molecular_function","biological_process","cellular_component","GO:0003674","GO:0008150","GO:0005575",-2.32358044349349,6.16608939798648,-17.1731162590377,9.12357860378831e-10,1.11211491516069e-06,12.8390478540091
"1450826_a_at","1450826_a_at","serum amyloid A 3","Saa3","20210","","","","Mus musculus serum amyloid A 3 (Saa3), mRNA",118130197,"NM_011315",NA,NA,NA,"7 30.51 cM","Chromosome 7, NC_000073.6 (46711998..46715676, complement)","Toll-like receptor 4 binding///chemoattractant activity","I-kappaB phosphorylation///acute-phase response///cell chemotaxis///cellular response to interleukin-1///response to stilbenoid","extracellular region///extracellular space///high-density lipoprotein particle","GO:0035662///GO:0042056","GO:0007252///GO:0006953///GO:0060326///GO:0071347///GO:0035634","GO:0005576///GO:0005615///GO:0034364",-1.85173187236783,11.5053291229608,-17.0118761130644,1.01667535154842e-09,1.17571987256885e-06,12.7406706175302
"1437401_at","1437401_at","insulin-like growth factor 1","Igf1","16000","","","","H3144A06-3 NIA Mouse 15K cDNA Clone Set Mus musculus cDNA clone H3144A06 3-, mRNA sequence",40106825,"BG075165",NA,NA,NA,"10 43.7 cM","Chromosome 10, NC_000076.6 (87858265..87937047)","growth factor activity///hormone activity///insulin receptor binding///insulin receptor binding///insulin-like growth factor receptor binding///insulin-like growth factor receptor binding///integrin binding///protein binding///protein serine/threonine kinase activator activity///steroid binding","ERK1 and ERK2 cascade///Type I pneumocyte differentiation///Type II pneumocyte differentiation///activation of MAPK activity///activation of protein kinase B activity///blood vessel remodeling///blood vessel remodeling///bone mineralization involved in bone maturation///branching morphogenesis of an epithelial tube///cell activation///cell development///cell proliferation///cellular response to glucose stimulus///cellular response to insulin-like growth factor stimulus///chondroitin sulfate proteoglycan biosynthetic process///circadian rhythm///detection of mechanical stimulus involved in sensory perception///exocrine pancreas development///extrinsic apoptotic signaling pathway in absence of ligand///glial cell differentiation///inner ear development///insulin-like growth factor receptor signaling pathway///insulin-like growth factor receptor signaling pathway///lung alveolus development///lung alveolus development///lung development///lung lobe morphogenesis///lung lobe morphogenesis///lung vasculature development///lung vasculature development///mammary gland development///memory///multicellular organism growth///muscle hypertrophy///myoblast differentiation///myoblast proliferation///myotube cell development///negative regulation of ERK1 and ERK2 cascade///negative regulation of androgen receptor signaling pathway///negative regulation of apoptotic process///negative regulation of apoptotic process///negative regulation of cell proliferation///negative regulation of cell proliferation///negative regulation of cholangiocyte apoptotic process///negative regulation of cysteine-type endopeptidase activity involved in apoptotic process///negative regulation of extrinsic apoptotic signaling pathway///negative regulation of gene expression///negative regulation of neuron death///negative regulation of oocyte development///negative regulation of peptidyl-tyrosine phosphorylation///negative regulation of release of cytochrome c from mitochondria///negative regulation of smooth muscle cell apoptotic process///nervous system development///osteoblast differentiation///phosphatidylinositol 3-kinase signaling///phosphatidylinositol-mediated signaling///positive regulation of DNA binding///positive regulation of DNA replication///positive regulation of MAPK cascade///positive regulation of Ras protein signal transduction///positive regulation of activated T cell proliferation///positive regulation of calcineurin-NFAT signaling cascade///positive regulation of cardiac muscle hypertrophy///positive regulation of cell growth///positive regulation of cell growth involved in cardiac muscle cell development///positive regulation of cell migration///positive regulation of cell proliferation///positive regulation of cell proliferation///positive regulation of cerebellar granule cell precursor proliferation///positive regulation of epithelial cell proliferation///positive regulation of fat cell differentiation///positive regulation of fibroblast proliferation///positive regulation of glucose import///positive regulation of glycogen biosynthetic process///positive regulation of glycolytic process///positive regulation of glycoprotein biosynthetic process///positive regulation of insulin-like growth factor receptor signaling pathway///positive regulation of mitotic nuclear division///positive regulation of myoblast proliferation///positive regulation of osteoblast differentiation///positive regulation of peptidyl-tyrosine phosphorylation///positive regulation of phosphatidylinositol 3-kinase signaling///positive regulation of phosphatidylinositol 3-kinase signaling///positive regulation of protein import into nucleus, translocation///positive regulation of protein kinase B signaling///positive regulation of protein secretion///positive regulation of protein serine/threonine kinase activity///positive regulation of smooth muscle cell migration///positive regulation of smooth muscle cell proliferation///positive regulation of steroid hormone biosynthetic process///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription regulatory region DNA binding///positive regulation of transcription, DNA-templated///positive regulation of trophectodermal cell proliferation///positive regulation of tyrosine phosphorylation of Stat5 protein///prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis///prostate gland epithelium morphogenesis///prostate gland growth///prostate gland growth///prostate gland stromal morphogenesis///protein kinase B signaling///protein stabilization///proteoglycan biosynthetic process///regulation of calcium ion transport///regulation of cell proliferation///regulation of establishment or maintenance of cell polarity///regulation of gene expression///regulation of intracellular steroid hormone receptor signaling pathway///regulation of nitric oxide biosynthetic process///regulation of protein metabolic process///regulation of protein phosphorylation///regulation of translation///response to heat///sensory perception of smell///skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration///water homeostasis","alphav-beta3 integrin-IGF-1-IGF1R complex///cytoplasm///exocytic vesicle///extracellular region///extracellular space///extracellular space///insulin-like growth factor ternary complex///insulin-like growth factor ternary complex///interstitial matrix///neuronal cell body///plasma membrane","GO:0008083///GO:0005179///GO:0005158///GO:0005158///GO:0005159///GO:0005159///GO:0005178///GO:0005515///GO:0043539///GO:0005496","GO:0070371///GO:0060509///GO:0060510///GO:0000187///GO:0032148///GO:0001974///GO:0001974///GO:0035630///GO:0048754///GO:0001775///GO:0048468///GO:0008283///GO:0071333///GO:1990314///GO:0050650///GO:0007623///GO:0050974///GO:0031017///GO:0097192///GO:0010001///GO:0048839///GO:0048009///GO:0048009///GO:0048286///GO:0048286///GO:0030324///GO:0060463///GO:0060463///GO:0060426///GO:0060426///GO:0030879///GO:0007613///GO:0035264///GO:0014896///GO:0045445///GO:0051450///GO:0014904///GO:0070373///GO:0060766///GO:0043066///GO:0043066///GO:0008285///GO:0008285///GO:1904193///GO:0043154///GO:2001237///GO:0010629///GO:1901215///GO:0060283///GO:0050732///GO:0090201///GO:0034392///GO:0007399///GO:0001649///GO:0014065///GO:0048015///GO:0043388///GO:0045740///GO:0043410///GO:0046579///GO:0042104///GO:0070886///GO:0010613///GO:0030307///GO:0061051///GO:0030335///GO:0008284///GO:0008284///GO:0021940///GO:0050679///GO:0045600///GO:0048146///GO:0046326///GO:0045725///GO:0045821///GO:0010560///GO:0043568///GO:0045840///GO:2000288///GO:0045669///GO:0050731///GO:0014068///GO:0014068///GO:0033160///GO:0051897///GO:0050714///GO:0071902///GO:0014911///GO:0048661///GO:0090031///GO:0045944///GO:0045944///GO:0045944///GO:0045944///GO:2000679///GO:0045893///GO:1904075///GO:0042523///GO:0060527///GO:0060740///GO:0060736///GO:0060736///GO:0060741///GO:0043491///GO:0050821///GO:0030166///GO:0051924///GO:0042127///GO:0032878///GO:0010468///GO:0033143///GO:0045428///GO:0051246///GO:0001932///GO:0006417///GO:0009408///GO:0007608///GO:0014834///GO:0030104","GO:0035867///GO:0005737///GO:0070382///GO:0005576///GO:0005615///GO:0005615///GO:0042567///GO:0042567///GO:0005614///GO:0043025///GO:0005886",-1.9024715356808,8.66883336339323,-16.805793440465,1.16917677825315e-09,1.24773480841346e-06,12.613259246791
"1452227_at","1452227_at","sel-1 suppressor of lin-12-like 3 (C. elegans)","Sel1l3","231238","","","","Mus musculus RIKEN cDNA 2310045A20 gene, mRNA (cDNA clone IMAGE:4988442), partial cds",20071862,"BC026655",NA,NA,NA,"5 C1","Chromosome 5, NC_000071.6 (53107083..53213452, complement)","molecular_function","biological_process","integral component of membrane///membrane///nucleoplasm///nucleus","GO:0003674","GO:0008150","GO:0016021///GO:0016020///GO:0005654///GO:0005634",-1.26606124664929,9.12738349822039,-16.7804080775621,1.18960991467548e-09,1.24773480841346e-06,12.5974329870547
"1434413_at","1434413_at","insulin-like growth factor 1","Igf1","16000","","","","mac15d01.x1 Soares mouse 3NbMS Mus musculus cDNA clone IMAGE:3999792 3-, mRNA sequence",12575240,"BG092677",NA,NA,NA,"10 43.7 cM","Chromosome 10, NC_000076.6 (87858265..87937047)","growth factor activity///hormone activity///insulin receptor binding///insulin receptor binding///insulin-like growth factor receptor binding///insulin-like growth factor receptor binding///integrin binding///protein binding///protein serine/threonine kinase activator activity///steroid binding","ERK1 and ERK2 cascade///Type I pneumocyte differentiation///Type II pneumocyte differentiation///activation of MAPK activity///activation of protein kinase B activity///blood vessel remodeling///blood vessel remodeling///bone mineralization involved in bone maturation///branching morphogenesis of an epithelial tube///cell activation///cell development///cell proliferation///cellular response to glucose stimulus///cellular response to insulin-like growth factor stimulus///chondroitin sulfate proteoglycan biosynthetic process///circadian rhythm///detection of mechanical stimulus involved in sensory perception///exocrine pancreas development///extrinsic apoptotic signaling pathway in absence of ligand///glial cell differentiation///inner ear development///insulin-like growth factor receptor signaling pathway///insulin-like growth factor receptor signaling pathway///lung alveolus development///lung alveolus development///lung development///lung lobe morphogenesis///lung lobe morphogenesis///lung vasculature development///lung vasculature development///mammary gland development///memory///multicellular organism growth///muscle hypertrophy///myoblast differentiation///myoblast proliferation///myotube cell development///negative regulation of ERK1 and ERK2 cascade///negative regulation of androgen receptor signaling pathway///negative regulation of apoptotic process///negative regulation of apoptotic process///negative regulation of cell proliferation///negative regulation of cell proliferation///negative regulation of cholangiocyte apoptotic process///negative regulation of cysteine-type endopeptidase activity involved in apoptotic process///negative regulation of extrinsic apoptotic signaling pathway///negative regulation of gene expression///negative regulation of neuron death///negative regulation of oocyte development///negative regulation of peptidyl-tyrosine phosphorylation///negative regulation of release of cytochrome c from mitochondria///negative regulation of smooth muscle cell apoptotic process///nervous system development///osteoblast differentiation///phosphatidylinositol 3-kinase signaling///phosphatidylinositol-mediated signaling///positive regulation of DNA binding///positive regulation of DNA replication///positive regulation of MAPK cascade///positive regulation of Ras protein signal transduction///positive regulation of activated T cell proliferation///positive regulation of calcineurin-NFAT signaling cascade///positive regulation of cardiac muscle hypertrophy///positive regulation of cell growth///positive regulation of cell growth involved in cardiac muscle cell development///positive regulation of cell migration///positive regulation of cell proliferation///positive regulation of cell proliferation///positive regulation of cerebellar granule cell precursor proliferation///positive regulation of epithelial cell proliferation///positive regulation of fat cell differentiation///positive regulation of fibroblast proliferation///positive regulation of glucose import///positive regulation of glycogen biosynthetic process///positive regulation of glycolytic process///positive regulation of glycoprotein biosynthetic process///positive regulation of insulin-like growth factor receptor signaling pathway///positive regulation of mitotic nuclear division///positive regulation of myoblast proliferation///positive regulation of osteoblast differentiation///positive regulation of peptidyl-tyrosine phosphorylation///positive regulation of phosphatidylinositol 3-kinase signaling///positive regulation of phosphatidylinositol 3-kinase signaling///positive regulation of protein import into nucleus, translocation///positive regulation of protein kinase B signaling///positive regulation of protein secretion///positive regulation of protein serine/threonine kinase activity///positive regulation of smooth muscle cell migration///positive regulation of smooth muscle cell proliferation///positive regulation of steroid hormone biosynthetic process///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription regulatory region DNA binding///positive regulation of transcription, DNA-templated///positive regulation of trophectodermal cell proliferation///positive regulation of tyrosine phosphorylation of Stat5 protein///prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis///prostate gland epithelium morphogenesis///prostate gland growth///prostate gland growth///prostate gland stromal morphogenesis///protein kinase B signaling///protein stabilization///proteoglycan biosynthetic process///regulation of calcium ion transport///regulation of cell proliferation///regulation of establishment or maintenance of cell polarity///regulation of gene expression///regulation of intracellular steroid hormone receptor signaling pathway///regulation of nitric oxide biosynthetic process///regulation of protein metabolic process///regulation of protein phosphorylation///regulation of translation///response to heat///sensory perception of smell///skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration///water homeostasis","alphav-beta3 integrin-IGF-1-IGF1R complex///cytoplasm///exocytic vesicle///extracellular region///extracellular space///extracellular space///insulin-like growth factor ternary complex///insulin-like growth factor ternary complex///interstitial matrix///neuronal cell body///plasma membrane","GO:0008083///GO:0005179///GO:0005158///GO:0005158///GO:0005159///GO:0005159///GO:0005178///GO:0005515///GO:0043539///GO:0005496","GO:0070371///GO:0060509///GO:0060510///GO:0000187///GO:0032148///GO:0001974///GO:0001974///GO:0035630///GO:0048754///GO:0001775///GO:0048468///GO:0008283///GO:0071333///GO:1990314///GO:0050650///GO:0007623///GO:0050974///GO:0031017///GO:0097192///GO:0010001///GO:0048839///GO:0048009///GO:0048009///GO:0048286///GO:0048286///GO:0030324///GO:0060463///GO:0060463///GO:0060426///GO:0060426///GO:0030879///GO:0007613///GO:0035264///GO:0014896///GO:0045445///GO:0051450///GO:0014904///GO:0070373///GO:0060766///GO:0043066///GO:0043066///GO:0008285///GO:0008285///GO:1904193///GO:0043154///GO:2001237///GO:0010629///GO:1901215///GO:0060283///GO:0050732///GO:0090201///GO:0034392///GO:0007399///GO:0001649///GO:0014065///GO:0048015///GO:0043388///GO:0045740///GO:0043410///GO:0046579///GO:0042104///GO:0070886///GO:0010613///GO:0030307///GO:0061051///GO:0030335///GO:0008284///GO:0008284///GO:0021940///GO:0050679///GO:0045600///GO:0048146///GO:0046326///GO:0045725///GO:0045821///GO:0010560///GO:0043568///GO:0045840///GO:2000288///GO:0045669///GO:0050731///GO:0014068///GO:0014068///GO:0033160///GO:0051897///GO:0050714///GO:0071902///GO:0014911///GO:0048661///GO:0090031///GO:0045944///GO:0045944///GO:0045944///GO:0045944///GO:2000679///GO:0045893///GO:1904075///GO:0042523///GO:0060527///GO:0060740///GO:0060736///GO:0060736///GO:0060741///GO:0043491///GO:0050821///GO:0030166///GO:0051924///GO:0042127///GO:0032878///GO:0010468///GO:0033143///GO:0045428///GO:0051246///GO:0001932///GO:0006417///GO:0009408///GO:0007608///GO:0014834///GO:0030104","GO:0035867///GO:0005737///GO:0070382///GO:0005576///GO:0005615///GO:0005615///GO:0042567///GO:0042567///GO:0005614///GO:0043025///GO:0005886",-1.88722040027056,8.41294327368289,-16.2590619135691,1.70728649373337e-09,1.6041735032056e-06,12.2658551941255
"1457042_at","1457042_at","EST AI256396","AI256396","100503463","","","","BB328287 RIKEN full-length enriched, 4 days neonate male adipose Mus musculus cDNA clone B430312A05 3-, mRNA sequence",16403831,"BB328287",NA,NA,NA,"6","Chromosome 6","","","","","","",-1.55880444222311,5.66523810179619,-16.1636103744465,1.82614036944354e-09,1.68083177147496e-06,12.2037654142239
"1419145_at","1419145_at","smoothelin-like 1","Smtnl1","68678","","","","Mus musculus smoothelin-like 1 (Smtnl1), mRNA",118129859,"NM_024230",NA,NA,NA,"2 E1","Chromosome 2, NC_000068.7 (84810444..84826934, complement)","calmodulin binding///myosin phosphatase regulator activity///protein binding///protein phosphatase 1 binding///protein phosphatase inhibitor activity","muscle organ morphogenesis///negative regulation of transcription, DNA-templated///negative regulation of vasodilation///peptidyl-serine phosphorylation///positive regulation of vasoconstriction///response to activity///response to drug","I band///M band///contractile fiber///contractile fiber///cytoplasm///nucleus","GO:0005516///GO:0017020///GO:0005515///GO:0008157///GO:0004864","GO:0048644///GO:0045892///GO:0045908///GO:0018105///GO:0045907///GO:0014823///GO:0042493","GO:0031674///GO:0031430///GO:0043292///GO:0043292///GO:0005737///GO:0005634",-2.24630471069622,8.23118269107709,-16.0541325285544,1.9735713025281e-09,1.72298352184851e-06,12.1320119331607
"1449979_a_at","1449979_a_at","sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3","Spock3","72902","","","","Mus musculus sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3 (Spock3), transcript variant 1, mRNA",357933623,"NM_023689",NA,NA,NA,"8 B3.1","Chromosome 8, NC_000074.6 (62951091..63357101)","calcium ion binding///enzyme inhibitor activity///glycosaminoglycan binding///metalloendopeptidase inhibitor activity///peptidase inhibitor activity","negative regulation of peptidase activity///peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan///signal transduction","extracellular region///proteinaceous extracellular matrix","GO:0005509///GO:0004857///GO:0005539///GO:0008191///GO:0030414","GO:0010466///GO:0019800///GO:0007165","GO:0005576///GO:0005578",-1.51390040277335,7.3004309538897,-16.0449250690286,1.98654449205389e-09,1.72298352184851e-06,12.1259507358956
"1439622_at","1439622_at","Ras association (RalGDS/AF-6) domain family member 4","Rassf4","213391","","","","AV291679 RIKEN full-length enriched, 6 days neonate head Mus musculus cDNA clone 5430408M01 3-, mRNA sequence",16392407,"AV291679",NA,NA,NA,"6 E3","Chromosome 6, NC_000072.6 (116632995..116673836, complement)","molecular_function","cell cycle///signal transduction","cellular_component","GO:0003674","GO:0007049///GO:0007165","GO:0005575",-1.69339372510937,8.01228236906952,-15.6193556837731,2.69946642682796e-09,2.10918346671574e-06,11.8412327721928
"1417988_at","1417988_at","regulated endocrine-specific protein 18","Resp18","19711","","","","Mus musculus regulated endocrine-specific protein 18 (Resp18), mRNA",6677716,"NM_009049",NA,NA,NA,"1 C3","Chromosome 1, NC_000067.6 (75272197..75278458, complement)","molecular_function","in utero embryonic development","Golgi apparatus///endoplasmic reticulum///endoplasmic reticulum///extracellular region///perikaryon///rough endoplasmic reticulum lumen///secretory granule","GO:0003674","GO:0001701","GO:0005794///GO:0005783///GO:0005783///GO:0005576///GO:0043204///GO:0048237///GO:0030141",-2.46923555776231,9.06790808850376,-15.454884092391,3.0453649104299e-09,2.2567764288023e-06,11.7287500946361
"1422437_at","1422437_at","collagen, type V, alpha 2","Col5a2","12832","","","","AV229424 RIKEN full-length enriched, 0 day neonate skin Mus musculus cDNA clone 4631412C15 3-, mRNA sequence",16385646,"AV229424",NA,NA,NA,"1 C1","Chromosome 1, NC_000067.6 (45374331..45503282, complement)","SMAD binding///extracellular matrix structural constituent///metal ion binding","cellular response to amino acid stimulus///collagen fibril organization///collagen fibril organization///eye morphogenesis///negative regulation of endodermal cell differentiation///skeletal system development///skin development///skin development","collagen trimer///collagen type V trimer///extracellular matrix///extracellular region///proteinaceous extracellular matrix","GO:0046332///GO:0005201///GO:0046872","GO:0071230///GO:0030199///GO:0030199///GO:0048592///GO:1903225///GO:0001501///GO:0043588///GO:0043588","GO:0005581///GO:0005588///GO:0031012///GO:0005576///GO:0005578",-1.48233484734977,8.65708108446604,-15.4517807585629,3.05233502931067e-09,2.2567764288023e-06,11.7266143321267
"1455516_at","1455516_at","cysteine-serine-rich nuclear protein 3","Csrnp3","77771","","","","H3028D07-3 NIA Mouse 15K cDNA Clone Set Mus musculus cDNA clone H3028D07 3-, mRNA sequence",40010428,"BG065199",NA,NA,NA,"2 C1.3","Chromosome 2, NC_000068.7 (65845767..66031546)","DNA binding///sequence-specific DNA binding///transcription factor activity, sequence-specific DNA binding///transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding","apoptotic process///negative regulation of phosphatase activity///positive regulation of apoptotic process///positive regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///transcription, DNA-templated","nucleus","GO:0003677///GO:0043565///GO:0003700///GO:0001228","GO:0006915///GO:0010923///GO:0043065///GO:0045944///GO:0006355///GO:0006351","GO:0005634",-2.36797607200991,5.1219688768363,-15.4074229191471,3.15386924349342e-09,2.2942363992064e-06,11.6960320023235
"1451551_at","1451551_at","keratin 84","Krt84","16680","","","","Mus musculus type II 65kD keratin (Krt2-16) mRNA, complete cds",13488602,"AY028607",NA,NA,NA,"15 56.9 cM","Chromosome 15, NC_000081.6 (101516162..101532959, complement)","structural constituent of epidermis///structural molecule activity","regulation of keratinocyte differentiation","extracellular exosome///intermediate filament///intermediate filament cytoskeleton///keratin filament","GO:0030280///GO:0005198","GO:0045616","GO:0070062///GO:0005882///GO:0045111///GO:0045095",-1.10462981619139,6.73757106619174,-15.1870245713548,3.71546289677642e-09,2.6182983141799e-06,11.5425522778781
